0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.56027967,-0.07552968,-0.26769918,-0.14396614,0.62824905,0.53468,0.29855272,0.58801275,-0.6275209,-0.19570938,0.72170687,0.54302686,0.5790431,0.29890373,0.3610647,0.45458052
0.67389834,0.09848827,-0.89334404,0.4747187,0.08190253,0.5891416,0.7117099,0.4244334,-0.51989615,0.3644103,-0.22074568,-0.864241,-0.4025801,-0.467461,-0.7465387,-0.7523414
-0.1999457,0.45198166,-0.4767993,-0.51999784,0.4498902,0.32000262,0.42493773,-0.64853746,0.51273465,-0.56151783,-0.08979963,-0.05583009,-0.50521463,-0.47305733,0.22135884,-0.66747165
0.34799466,-0.4368343,0.22255163,-0.527733,-0.39791992,-0.66095877,0.5757512,-0.4538579,0.4389823,-0.4483523,0.112029046,0.3447774,-0.46052307,0.5315119,-0.000599578,-0.024872351
0.01247257,-0.36547154,0.33139715,-0.032444865,-0.22735552,-0.73062253,-0.085611165,-0.60373414,0.65455866,-0.39075485,0.43791682,-0.2787408,-0.03581664,0.42798716,-0.63483727,-0.6236476
-0.45381314,0.064417325,-0.588427,0.49270573,-0.541063,0.5713914,0.57812244,0.6603743,-0.66124696,-0.39590305,-0.5140157,0.72865915,0.27558994,0.5494589,0.2484209,-0.72825325
-0.113981456,-0.30297777,0.7399866,-0.530483,-0.4219373,-0.4386542,-0.20115897,0.5790037,-0.6197486,0.5528157,-0.6187968,0.49022162,0.40413678,0.41216242,0.10123773,-0.74457705
0.5896281,0.041347057,-0.62959623,-0.50460935,-0.10489694,-0.43034807,0.70645785,0.4140186,-0.36388153,-0.007251244,-0.011787653,0.40347528,0.60719645,0.6737821,0.53239155,0.53014255
-0.36937112,-0.41979295,-0.5010543,0.4373639,-0.18982849,-0.24550703,-0.72091615,-0.53256005,0.5023133,0.34084994,0.23762466,0.43464518,0.36500365,-0.39499292,0.18162268,0.30124533
0.39537793,-0.4634225,-0.38184798,0.38304844,0.7164737,0.3729077,-0.42615592,-0.43447173,-0.56139505,-0.34765598,0.5268726,-0.5969981,-0.118663244,-0.01236628,0.18628286,0.19977671
0.6232569,0.44633973,0.7066785,0.87987965,0.5957363,0.12573612,0.5442327,0.8598916,0.5446368,0.858203,0.6082936,0.708217,0.47310835,-0.11524948,0.2891676,-0.8147141
